datetime,cfs,cmd,mmd,siteLs,sitecmd,sitemmd,year,month,day
10/1/05,0.15,366.985728,4.26E-02,0.90148,77.887872,0.085453236,2005,10,1
10/2/05,0.16,391.4514432,4.55E-02,0.912932,78.8773248,0.086538795,2005,10,2
10/3/05,0.16,391.4514432,4.55E-02,0.912932,78.8773248,0.086538795,2005,10,3
10/4/05,0.17,415.9171584,4.83E-02,0.924384,79.8667776,0.087624355,2005,10,4
10/5/05,0.18,440.3828736,5.11E-02,0.935836,80.8562304,0.088709915,2005,10,5
10/6/05,0.17,415.9171584,4.83E-02,0.924384,79.8667776,0.087624355,2005,10,6
10/7/05,62.5,152910.72,1.78E+01,72.3047,6247.12608,6.853918619,2005,10,7
10/8/05,285,697272.8832,8.10E+01,327.1117,28262.45088,31.00762428,2005,10,8
10/9/05,8.96,21921.28082,2.55E+00,10.990692,949.5957888,1.041831424,2005,10,9
10/10/05,2.39,5847.305933,6.79E-01,3.466728,299.5252992,0.328618632,2005,10,10
10/11/05,1.49,3645.391565,4.23E-01,2.436048,210.4745472,0.230918249,2005,10,11
10/12/05,1.25,3058.2144,3.55E-01,2.1612,186.72768,0.204864814,2005,10,12
10/13/05,2.9,7095.057408,8.24E-01,4.05078,349.987392,0.383982182,2005,10,13
10/14/05,2.1,5137.800192,5.97E-01,3.13462,270.831168,0.297137397,2005,10,14
10/15/05,1.23,3009.28297,3.49E-01,2.138296,184.7487744,0.202693694,2005,10,15
10/16/05,1.24,3033.748685,3.52E-01,2.149748,185.7382272,0.203779254,2005,10,16
10/17/05,1.45,3547.528704,4.12E-01,2.39024,206.516736,0.22657601,2005,10,17
10/18/05,1.5,3669.85728,4.26E-01,2.4475,211.464,0.232003809,2005,10,18
10/19/05,1.5,3669.85728,4.26E-01,2.4475,211.464,0.232003809,2005,10,19
10/20/05,1.5,3669.85728,4.26E-01,2.4475,211.464,0.232003809,2005,10,20
10/21/05,4.19,10251.13467,1.19E+00,5.528088,477.6268032,0.524019397,2005,10,21
10/22/05,16.3,39879.11578,4.63E+00,19.39646,1675.854144,1.83863232,2005,10,22
10/23/05,3.8,9296.971776,1.08E+00,5.08146,439.038144,0.481682564,2005,10,23
10/24/05,3.07,7510.974566,8.72E-01,4.245464,366.8080896,0.402436699,2005,10,24
10/25/05,23.2,56760.45926,6.59E+00,27.29834,2358.576576,2.587668586,2005,10,25
10/26/05,5.29,12942.36334,1.50E+00,6.787808,586.4666112,0.643430975,2005,10,26
10/27/05,2.03,4966.540186,5.77E-01,3.054456,263.9049984,0.289538479,2005,10,27
10/28/05,1.42,3474.131558,4.03E-01,2.355884,203.5483776,0.223319331,2005,10,28
10/29/05,1.22,2984.817254,3.47E-01,2.126844,183.7593216,0.201608135,2005,10,29
10/30/05,1.28,3131.611546,3.64E-01,2.195556,189.6960384,0.208121493,2005,10,30
10/31/05,1.12,2740.160102,3.18E-01,2.012324,173.8647936,0.190752537,2005,10,31
11/1/05,0.97,2373.174374,2.76E-01,1.840544,159.0230016,0.17446914,2005,11,1
11/2/05,1.12,2740.160102,3.18E-01,2.012324,173.8647936,0.190752537,2005,11,2
11/3/05,1.21,2960.351539,3.44E-01,2.115392,182.7698688,0.200522575,2005,11,3
11/4/05,1.17,2862.488678,3.32E-01,2.069584,178.8120576,0.196180336,2005,11,4
11/5/05,1.06,2593.365811,3.01E-01,1.943612,167.9280768,0.184239178,2005,11,5
11/6/05,1.17,2862.488678,3.32E-01,2.069584,178.8120576,0.196180336,2005,11,6
11/7/05,0.99,2422.105805,2.81E-01,1.863448,161.0019072,0.176640259,2005,11,7
11/8/05,0.89,2177.448653,2.53E-01,1.748928,151.1073792,0.165784661,2005,11,8
11/9/05,0.84,2055.120077,2.39E-01,1.691668,146.1601152,0.160356862,2005,11,9
11/10/05,0.99,2422.105805,2.81E-01,1.863448,161.0019072,0.176640259,2005,11,10
11/11/05,1.04,2544.434381,2.95E-01,1.920708,165.9491712,0.182068058,2005,11,11
11/12/05,1.03,2519.968666,2.93E-01,1.909256,164.9597184,0.180982498,2005,11,12
11/13/05,0.93,2275.311514,2.64E-01,1.794736,155.0651904,0.1701269,2005,11,13
11/14/05,0.88,2152.982938,2.50E-01,1.737476,150.1179264,0.164699101,2005,11,14
11/15/05,0.75,1834.92864,2.13E-01,1.5886,137.25504,0.150586824,2005,11,15
11/16/05,11,26912.28672,3.13E+00,13.3269,1151.44416,1.263285624,2005,11,16
11/17/05,3.79,9272.506061,1.08E+00,5.070008,438.0486912,0.480597004,2005,11,17
11/18/05,1.12,2740.160102,3.18E-01,2.012324,173.8647936,0.190752537,2005,11,18
11/19/05,0.98,2397.64009,2.78E-01,1.851996,160.0124544,0.175554699,2005,11,19
11/20/05,0.89,2177.448653,2.53E-01,1.748928,151.1073792,0.165784661,2005,11,20
11/21/05,8.37,20477.80362,2.38E+00,10.315024,891.2180736,0.977783395,2005,11,21
11/22/05,14.4,35230.62989,4.09E+00,17.22058,1487.858112,1.632375958,2005,11,22
11/23/05,2.37,5798.374502,6.73E-01,3.443824,297.5463936,0.326447512,2005,11,23
