"year","month","day","no3","po4","tn","tp","stage","temp","turb"
1998,10,15,2.71,70.9,NA,NA,NA,NA,NA
1998,10,21,2.51,46.8,NA,NA,NA,NA,NA
1998,10,30,2.41,32.4,NA,NA,NA,NA,NA
1998,11,3,2.55,27.6,NA,NA,NA,NA,NA
1998,11,10,2.72,60,NA,NA,NA,NA,NA
1998,11,19,2.69,18.7,NA,NA,NA,NA,NA
1998,11,24,2.67,54.5,NA,NA,NA,NA,NA
1998,12,4,2.66,20,NA,NA,NA,NA,NA
1998,12,10,2.96,19.8,NA,NA,NA,NA,NA
1998,12,18,4.15,16.1,NA,NA,NA,NA,NA
1998,12,22,3.4,11.1,NA,NA,NA,NA,NA
1998,12,30,3.77,31.1,NA,NA,NA,NA,NA
1999,1,9,1.08,194.9,NA,NA,NA,NA,NA
1999,1,15,1.21,NA,NA,NA,NA,NA,NA
1999,1,25,1.96,47.9,NA,NA,NA,NA,NA
1999,1,28,2.52,32,NA,NA,NA,NA,NA
1999,2,2,2.22,28.7,NA,NA,NA,NA,NA
1999,2,11,2.55,6.8,NA,NA,NA,NA,NA
1999,2,18,1.15,18,NA,NA,NA,NA,NA
1999,2,25,3.03,4.5,NA,NA,NA,NA,NA
1999,3,4,1.2,9.3,NA,NA,NA,NA,NA
1999,3,11,2.42,4.7,NA,NA,NA,NA,NA
1999,3,16,1.94,6,NA,NA,NA,NA,NA
1999,3,23,NA,8,NA,NA,NA,NA,NA
1999,3,30,2.04,8.6,NA,NA,NA,NA,NA
1999,4,6,1.46,12,NA,NA,NA,NA,NA
1999,4,13,1.68,11.4,NA,NA,NA,NA,NA
1999,4,20,1.86,8.9,NA,NA,NA,NA,NA
1999,4,27,2.02,16,NA,NA,NA,NA,NA
1999,5,6,2.17,18.6,NA,NA,NA,NA,NA
1999,5,13,2.08,5.7,NA,NA,NA,NA,NA
1999,5,20,2.43,32.1,NA,NA,NA,NA,NA
1999,5,27,2.38,39.6,NA,NA,NA,NA,NA
1999,6,3,2.12,48.7,NA,NA,NA,NA,NA
1999,6,9,2.67,90.2,NA,NA,NA,NA,NA
1999,6,18,2.67,94.8,NA,NA,NA,NA,NA
1999,6,25,2.89,88.6,NA,NA,NA,NA,NA
1999,7,1,2.7,NA,NA,NA,NA,NA,NA
1999,7,7,2.14,7.4,NA,NA,NA,NA,NA
1999,7,13,2.13,102.1,NA,NA,NA,NA,NA
1999,7,21,1.36,115.1,NA,NA,NA,NA,NA
1999,7,28,1.55,1.5,NA,NA,NA,NA,NA
1999,8,3,2.89,126.7,NA,NA,NA,NA,NA
1999,8,10,3.03,86,NA,NA,NA,NA,NA
1999,8,17,2.51,101,NA,NA,NA,NA,NA
1999,8,23,3,101,NA,NA,NA,NA,NA
1999,9,2,3.12,89,NA,NA,NA,NA,NA
1999,9,7,1.03,93.7,NA,NA,NA,NA,NA
1999,9,16,1.68,100.5,NA,NA,NA,NA,NA
1999,9,21,0.65,NA,NA,NA,NA,NA,NA
1999,9,30,0.96,87,NA,NA,NA,NA,NA
1999,10,5,1.16,28.1,NA,NA,NA,NA,NA
1999,10,12,1.95,35.8,NA,NA,NA,NA,NA
1999,10,19,2.2,51.6,NA,NA,NA,NA,NA
1999,10,29,2.55,33.6,NA,NA,NA,NA,NA
1999,11,4,3.13,22.1,NA,NA,NA,NA,NA
1999,11,10,3.21,35,NA,NA,NA,NA,NA
1999,11,15,2.36,1.5,2.42,1.5,NA,NA,NA
1999,11,22,2.44,1.5,2.44,3.8,NA,NA,NA
1999,11,30,1.81,1.5,1.9,41,NA,NA,NA
1999,12,9,2.45,3.7,2.71,9.1,NA,NA,NA
1999,12,13,1.36,1.5,2.2,80.4,NA,NA,NA
1999,12,21,1.83,2.2,1.83,15.1,NA,NA,NA
1999,12,29,3.18,1.5,3.18,2.2,NA,NA,NA
2000,1,7,2.81,1.5,3.07,3.3,NA,NA,NA
2000,1,12,2.36,1.5,2.53,14.1,NA,NA,NA
2000,1,18,3.67,1.5,3.71,2.1,NA,NA,NA
2000,1,28,3.71,2.1,3.67,2.5,NA,NA,NA
2000,2,2,3.51,3.1,4.41,1.5,NA,NA,NA
2000,2,10,2.77,1.5,2.77,2.9,NA,NA,NA
2000,2,16,2.08,1.5,2,7.4,NA,NA,NA
2000,2,23,2.26,5.7,2.27,7.3,NA,NA,NA
2000,2,28,1.01,2.6,1.51,56.1,NA,NA,NA
2000,3,8,2.19,1.5,2.2,8.5,NA,NA,NA
2000,3,14,2.2,1.5,2.29,6.3,NA,NA,NA
