date,year,month,day,cfs,Lps
10/1/98,1998,10,1,0,0
10/2/98,1998,10,2,0,0
10/3/98,1998,10,3,0.01,0.283168
10/4/98,1998,10,4,0.18,5.097024
10/5/98,1998,10,5,0.08,2.265344
10/6/98,1998,10,6,0.03,0.849504
10/7/98,1998,10,7,0.02,0.566336
10/8/98,1998,10,8,1.94,54.934592
10/9/98,1998,10,9,0.13,3.681184
10/10/98,1998,10,10,0.2,5.66336
10/11/98,1998,10,11,0.04,1.132672
10/12/98,1998,10,12,0.04,1.132672
10/13/98,1998,10,13,0.04,1.132672
10/14/98,1998,10,14,0.04,1.132672
10/15/98,1998,10,15,0.04,1.132672
10/16/98,1998,10,16,0.04,1.132672
10/17/98,1998,10,17,0.04,1.132672
10/18/98,1998,10,18,0.04,1.132672
10/19/98,1998,10,19,0.04,1.132672
10/20/98,1998,10,20,0.04,1.132672
10/21/98,1998,10,21,0.04,1.132672
10/22/98,1998,10,22,0.04,1.132672
10/23/98,1998,10,23,0.04,1.132672
10/24/98,1998,10,24,0.03,0.849504
10/25/98,1998,10,25,0.03,0.849504
10/26/98,1998,10,26,0.03,0.849504
10/27/98,1998,10,27,0.03,0.849504
10/28/98,1998,10,28,0.03,0.849504
10/29/98,1998,10,29,0.03,0.849504
10/30/98,1998,10,30,0.02,0.566336
10/31/98,1998,10,31,0.02,0.566336
11/1/98,1998,11,1,0.02,0.566336
11/2/98,1998,11,2,0.02,0.566336
11/3/98,1998,11,3,0.02,0.566336
11/4/98,1998,11,4,0.02,0.566336
11/5/98,1998,11,5,0.01,0.283168
11/6/98,1998,11,6,0.01,0.283168
11/7/98,1998,11,7,0.01,0.283168
11/8/98,1998,11,8,0.01,0.283168
11/9/98,1998,11,9,0.02,0.566336
11/10/98,1998,11,10,0.01,0.283168
11/11/98,1998,11,11,0.24,6.796032
11/12/98,1998,11,12,0.03,0.849504
11/13/98,1998,11,13,0.03,0.849504
11/14/98,1998,11,14,0.03,0.849504
11/15/98,1998,11,15,0.04,1.132672
